PoleNum,Latitude,Longitude,Ownership%,Owner1,Owner2,Owner3,Attachment#,"Renter Company","Start Date","Attachment Asset Type","Attachment Type","Attachment Method","Colashed to",Comment1,Comment2,"Pole Status","Attachment Status","Pole Mobile3","Valid Attachment","Data as of"
1351916,47.766490309191,-122.3667187801,100,SCL,,,3425301,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1351921,47.768021305146,-122.3667128288,50,SCL,ZIPLY,,3425305,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351924,47.768783500828,-122.3667197118,50,SCL,ZIPLY,,3425307,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351922,47.768393835679,-122.3667187075,50,SCL,ZIPLY,,3425306,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351919,47.76758650502,-122.3667072405,50,SCL,ZIPLY,,3425304,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351918,47.767287482402,-122.366710339,50,SCL,ZIPLY,,3425303,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351925,47.769193352131,-122.3667199342,50,SCL,ZIPLY,,3425308,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1308166,47.604293787523,-122.3131818442,50,SCL,CLINK,,3427848,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1308167,47.604297790938,-122.3137169056,50,SCL,CLINK,,3427849,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1354400,47.705134279765,-122.343430482,50,SCL,CLINK,,3429074,"VERIZON BUSINESS",2021/09/27,JUATTACH,CABLE,DIRECT,,"App# 17-244",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1354427,47.705143383913,-122.3453928382,50,SCL,CLINK,,3429075,"VERIZON BUSINESS",2021/09/27,JUATTACH,CABLE,DIRECT,,"App# 17-244",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1308931,47.615063063994,-122.3102487533,100,SCL,,,3427822,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-042",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1301037,47.627499045286,-122.3236027818,50,SCL,CLINK,,3429097,"VERIZON BUSINESS",2021/10/01,JUATTACH,CABLE,DIRECT,,"App# 19-060",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309805,47.648340671233,-122.3376194697,50,SCL,CLINK,,3430604,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309429,47.660992273478,-122.3207349452,50,SCL,CLINK,,3429079,"VERIZON BUSINESS",2021/07/21,JUATTACH,CABLE,DIRECT,,"App# 18-502",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309921,47.646981177118,-122.3376443928,50,SCL,CLINK,,3430611,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309920,47.647642387054,-122.3376312998,50,SCL,CLINK,,3430610,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309927,47.6515913055,-122.3549214918,100,SCL,,,3429561,"VERIZON BUSINESS",2021/07/13,JUATTACH,CABLE,DIRECT,,"App# 21-036",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1309917,47.647990917708,-122.3383214653,50,SCL,CLINK,,3430607,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309918,47.647988147969,-122.3379400266,50,SCL,CLINK,,3430608,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309919,47.647985087933,-122.3376439996,50,SCL,CLINK,,3430609,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1309912,47.647320626873,-122.3376366978,50,SCL,CLINK,,3430606,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1301428,47.626481930455,-122.3254040287,33,SCL,CLINK,METRO,3429103,"VERIZON BUSINESS",2021/10/01,JUATTACH,CABLE,DIRECT,,"App# 19-060",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358515,47.663582274963,-122.3783576532,50,SCL,CLINK,,3426003,"VERIZON BUSINESS",2021/03/04,JUATTACH,CABLE,DIRECT,,"App# 20-166",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358517,47.663549407603,-122.3789775799,50,SCL,CLINK,,3426005,"VERIZON BUSINESS",2021/03/04,JUATTACH,CABLE,DIRECT,,"App# 20-166",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358607,47.664989164992,-122.3775894075,50,SCL,CLINK,,3427884,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358608,47.66499428289,-122.3769235858,50,SCL,CLINK,,3427885,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358606,47.664987398778,-122.378350129,50,SCL,CLINK,,3427883,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358509,47.66286023712,-122.3781455498,50,SCL,CLINK,,3425999,"VERIZON BUSINESS",2021/03/03,JUATTACH,CABLE,DIRECT,,"App# 20-139",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1358825,47.664979648785,-122.3789729221,50,SCL,CLINK,,3427886,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1311458,47.606992013876,-122.3231086977,100,SCL,,,3427824,"VERIZON BUSINESS",2021/04/19,JUATTACH,CABLE,DIRECT,,"App# 20-052",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1311309,47.60398534258,-122.3174740405,50,SCL,CLINK,,3427872,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1311448,47.603768431337,-122.3174736457,50,SCL,CLINK,,3427874,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
